report_number,date_received,event_type,brand,generic,model,problem,narrative
1219029-2026-00013,20260227,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"THOUSANDS OF DUPLICATE RESULTS WERE SENT FROM THE SAME NOVA STATSTRIP GLUCOSE METER. THESE RESULTS ""CLOGGED"" UP THEIR LIS FEED INTO QML (MIDDLEWARE). THIS PREVENTED OTHER RESULTS FROM ENTERING THE PATIENT CHARTS. ALTHOUGH THERE WAS NO SPECIFIC ALLEGATIONS OF DELAYS IN TREATMENT DUE TO THIS OCCURRENCE, THIS ISSUE COULD LEAD TO POTENTIAL DELAYS. | TECHNICAL SUPPORT WAS ABLE TO MANUALLY MARK THE UNTRANSMITTED RESULTS AS TRANSMITTED WHICH ALLOWED THE RESULTS TO START FLOWING TO THE PATIENTS CHARTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THIS ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION."
1219029-2026-00007,20260212,Malfunction,STAT PROFILE PRIME PLUS,"SINGLE-CHANNEL CLINICAL CHEMISTRY ANALYSER IVD, POINT-OF-CARE",,Failure to Calibrate; Calibration Problem,A DHR REVIEW WAS PERFORMED FOR THE ANALYZER SERIAL NUMBER PROVIDED. THERE WERE NO FINDINGS RELATED TO THE COMPLAINT THE CONSUMER REPORTED. AWARENESS OF THE INITAL COMPLAINT WAS ON 12/16/2025 BUT REPORTABILITY WAS UNABLE TO BE DETERMINED DUE TO LACK OF INFORMATION. AWARENESS OF REPORTABILITY WAS MADE ON 01/21/2026. PRODUCT WAS NOT RETURNED FOR EVALUATION. THIS COMPLAINT IS CURRENTLY BEING INVESTIGATED BY NOVA BIOMEDICAL. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF INVESTIGATION. | CONSUMER REPORTED THAT THEY HAVE BEEN HAVING ISSUES WITH THE ANALYZER STAYING CALIBRATED FOR PO2 AND HAVE CONSISTENTLY NEEDED TO REPLACE THE CONSUMABLES.THE CONSUMER REQUESTED SERVICE DUE TO INCONSISTENCY WITH CALIBRATION.
1219029-2026-00011,20260212,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",2.0,Computer Software Problem; Output Problem,"THE CONSUMER REPORTED DELAYS IN RESULTS BEING TRANSMITTED TO EPIC. DUE TO DOWNTOWN, THE CUSTOMER REPORTED THAT THE ED HAD TO RELY ON EMS STAFF GLUCOSE MONITORING WITH A COMMERICAL METER AS AN ALTERNATIVE. THIS INDICATED DELAYS IN TREATEMENT FOR PATIENTS. | THE CONSUMER REPORTED THIS ISSUE OCCURRED ON MULTIPLE METERS, SO DHR REVIEWS WERE UNABLE TO BE COMPLETED AS A SPECIFIC SERIAL NUMBER WAS NOT PROVIDED. NIR 6047 WAS INITIATED BY NOVA BIOMEDICAL TO FURTHER INVESTIGATE THIS ISSUE. THE ISSUE WAS CONFIRMED TO BE A POTENTIAL LOGIC ERROR THAT COULD FAIL TO SET THE ARCHIVE FLAG ON A SAMPLE AFTER IT WAS TRANSMITTED, CAUSING THE ISSUE OF REPEATED TRANSMISSIONS OF THE SAME SAMPLE. ADDITIONAL VALIDATION CHECKS HAVE BEEN INTRODUTED TO ENSURE ARCHIVED STATES ARE CONSISTENTLY APPLIED TO THE RESULTS AND A NEW SAFEGUARD PREVENTS DUPLICATE MESSAGES. IT IS ADVISED BY THE TEAM THAT METERS SHOULD BE UPGRADED TO THE V1.3.14.13 SOFTWARE. NOVA WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS."
1219029-2026-00012,20260211,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,1.86,Communication or Transmission Problem,"THIS ISSUE WAS ESCALATED TO THE NOVA CONNECTIVITY SUPPORT TEAM AND R&D. AFTER TROUBLESHOOTING THE TRANSMISSION PROBLEMS, AN ISSUE WITH THE CUSTOMER'S NETWORK SETTINGS WAS IDENTIFIED AND RESOLVED. THE METER SYSTEM WAS PERFORMING AS INTENDED. TECHNICAL SUPPORT CONFIRMED THAT ALL THEIR METERS WERE CONNECTING AND TRANSFERRING RESULTS PROPERLY AFTER THE CHANGES WERE MADE. NO FURTHER ACTION IS RECOMMENDED AT THIS TIME. NOVA BIOMEDICAL WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS. | CUSTOMER IS REPORTING THAT THEY'RE SEEING DELAYS IN RESULTS BEING SENT FROM THIER NOVA STATSTRIP 1.86 CONNECTIVITY METERS TO THEIR QML MIDDLEWARE. ALTHOUGH THERE WERE NO DIRECT ALLEGATIONS OF DELAYS IN TREATMENT DUE TO THIS ISSUE, THE POTENTIAL FOR SUCH DELAYS EXISTS FOR ISSUES OF THIS NATURE."
1219029-2026-00008,20260130,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"STATSTRIP METER SENDING A BLANK NTE SEGMENT TO CUSTOMER'S CONNECTIVITY SOFTWARE (RALS). THIS CAUSED THE RESULT TO NOT TRANSMIT TO RALS AND PREVENTED OTHER RESULTS BEHIND THIS ONE TO ALSO NOT TRANSFER TO THE PATIENTS CHART. ALTHOUGH NO SPECIFIC ALLEGATIONS WERE MADE REGARDING DELAYS IN TREATMENT, THIS ISSUE COULD HAVE LED TO POTENTIAL DELAYS. | INVESTIGATION BEGUN BUT NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE FILED UPON COMPLETION OF INVESTIGATION."
1219029-2026-00009,20260130,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"INVESTIGATION BEGUN BUT NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | STATSTRIP METER WAS SENDING THE SAME RESULT OVER AND OVER TO CUSTOMERS CONNECTIVITY SOFTWARE (QML) WHICH BLOCKED THE REST OF THEIR RESULTS FROM TRANSMITTING TO THE PATIENTS CHART. ALTHOUGH THERE WAS NO DIRECT ALLEGATION OF THIS ISSUE LEADING TO A DELAY IN TREATMENT, THIS COULD HAVE POTENTIALLY LEAD TO DELAYS."
1219029-2026-00006,20260122,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"COLLECTING ADDITIONAL INFORMATION REGARDING THE METER AND COMPLAINT WAS UNSUCCESSFUL. AN INVESTIGATION INTO ROOT CAUSE OF THE REPORTED ISSUE IS ANTICIPATED BUT HAS NOT YET BEGUN. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | CUSTOMER REPORTED DELAYED TRANSMISSION OF RESULTS TO RALS. STATSTRIP GLUCOSE METER WAS REPEATEDLY SENDING THE SAME RESULTS TO THE HOSPITAL TRANSMISSION SOFTWARE, THUS PREVENTING OTHER RESULTS FROM TRANSMITTING TO RALS."
MW5182501,20260120,Malfunction,GLUCOMETER STATSTRIP EXPRESS,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,,,"GOOD AFTERNOON, CAN YOU PLEASE SEND THIS TO THE APPROPRIATE POINT OF CONTACT FOR MEDICAL DEVICE CONTAMINATION CONCERNS? IN ORDER TO HELP COMBAT THE SPREAD OF VIRAL INFECTIONS DUE TO CONTAMINATED GLUCOMETERS (PARTICULARLY IN EMERGENT SCENARIOS), HAS THE FDA CONSIDERED REQUIRING GLUCOMETER STRIPS TO BE INDIVIDUALLY PACKAGED OR HELD IN A CONTAINER THAT ONLY DISPENSES ONE STRIP AT A TIME? PACKAGES SUCH AS THE STATSTRIP GLUCOSE TEST STRIP ARE PACKAGED WITH THE PATIENT-CONTACT END OF THE STRIP FACING UPWARDS IN THE MULTI-USE CONTAINER. FIRST RESPONDERS WHO UTILIZE THE NOVA STATSTRIP GLUCOMETER BECAUSE IT IS FDA APPROVED FOR EMERGENCY USE CANNOT PHYSICALLY OBTAIN A SINGLE GLUCOSE STRIP FROM THE CONTAINER WITHOUT TOUCHING OTHER STRIPS. IN EMERGENT SITUATIONS, FIRST RESPONDERS' MAY NOT BE WEARING FRESH GLOVES AND IN SUCH A SCENARIO, THEY WILL UNDOUBTEDLY CONTAMINATE MANY STRIPS AT ONCE WHILE ATTE | ADDITIONAL INFORMATION RECEIVED ON 4/20/2026 FOR REPORT MW5182501 TO UPDATE THE PROCODE TO PZI."
1219029-2026-00004,20260112,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"MULTIPLE ATTEMPTS TO OBTAIN ADDITIONAL INFORMATION FROM THE CUSTOMER WERE UNSUCCESSFUL. REVIEW OF A DEVICE HISTORY RECORD WAS UNABLE TO BE COMPLETED AS THE CUSTOMER DID NOT REPORT THE METER SERIAL NUMBER. NIR 6047 WAS INITIATED BY NOVA BIOMEDICAL TO FURTHER INVESTIGATE THIS ISSUE. THE ISSUE WAS CONFIRMED TO BE A POTENTIAL LOGIC ERROR THAT COULD FAIL TO SET THE ARCHIVE FLAG ON A SAMPLE AFTER IT WAS TRANSMITTED, CAUSING THE ISSUE OF REPEATED TRANSMISSIONS OF THE SAME SAMPLE. THE SOFTWARE TEAM UPDATED THE LOGIC TO ENSURE THAT RESULTS ARE SECURELY MARKED AS ARCHIVED BEFORE THEY ARE SENT. ADDITIONAL VALIDATION CHECKS HAVE BEEN INTRODUCED TO ENSURE ARCHIVE STATES ARE CONSISTENTLY APPLIED TO THE RESULTS, AND A NEW SAFEGUARD PREVENTS DUPLICATE MESSAGES. IT IS ADVISED BY THE TEAM THAT METERS SHOULD BE UPGRADED TO THE V1.3.14.13 SOFTWARE. NO FURTHER ACTION IS RECOMMENDED AT THIS TIME. NOVA WILL CO | THE CONSUMER REPORTED DELAYED TRANSMISSIONS OF RESULTS TO EPIC. STATSTRIP GLUCOSE METER REPEATEDLY SENDING THE SAME RESULTS TO THE HOSPITAL TRANSMISSION SOFTWARE, THUS PREVENTING OTHER RESULTS FROM TRANSMITTING TO THE PATIENT'S CHART. CUSTOMER REPORTED EXPERIENCING PATIENT CARE ISSUES DUE TO THE DELAY."
1219029-2026-00003,20260109,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"TECHNICAL SUPPORT WAS ABLE TO MANUALLY REMOVE THE BACKLOG OF RESULTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE IS ANTICIPATED BUT NOT YET BEGUN. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | STATSTRIP GLUCOSE METER REPEATEDLY SENDING THE SAME RESULTS TO METER SOFTWARE (NOVANET) THUS PREVENTING OTHER RESULTS FROM TRANSMITTING TO THE PATIENTS CHART. ALTHOUGH THERE WERE NO SPECIFIC ALLEGATIONS OF DELAYS IN TREATMENT, THIS ISSUE COULD POTENTIALLY LEAD TO DELAYS."
1219029-2026-00002,20260107,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"TECHNICAL SUPPORT WAS ABLE TO MANUALLY REMOVE THE BACKLOG OF RESULTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE IS ANTICIPATED BUT NOT YET BEGUN. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | GLUCOSE TEST RESULT OF 76 REPEATEDLY TRANSMITTED FROM A NOVA STATSTRIP GLUCOSE METER TO THE METER SOFTWARE (NOVANET) WHICH CAUSED A BACKLOG OF RESULTS WHICH WERE NOT TRANSFERRED TO THE PATIENTS CHARTS. ALTHOUGH NO SPECIFIC ALLEGATIONS OF DELAYS IN TREATMENT WERE REPORTED, THIS INCIDENT COULD POTENTIALLY LEAD TO DELAYS IN TREATMENT."
1219029-2026-00001,20260102,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,INVESTIGATION BEGUN BUT NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE FILED UPON COMPLETION OF THE INVESTIGATION. | METER ACCEPTED A PATIENT RESULT AND SHOWS ON THE METER THAT THE RESULT WAS INDEED ACCEPTED. INSIDE OF NOVANET (METER SOFTWARE) AND QML (MIDDLEWARE) THIS RESULT SHOWS THAT IT WAS NOT ACCEPTED ON THE METER. THUS PREVENTING THE RESULT FROM GOING TO THE PATIENTS CHART. THIS COULD HAVE LED TO POTENTIAL DELAYS IN TREATMENT.
1219029-2025-00030,20251219,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem; Computer Software Problem,"PER CUSTOMER: ""1. FIRMWARE 1.1.14.7 WAS INSTALLED ON A SMALL COHORT OF NOVA METERS AS DIRECTED BY NOVA TO TEST PROJECTED METER ENHANCEMENTS TO IMPROVE KNOWN ISSUES WE WERE EXPERIENCING. 2. THE METERS WERE DISTRIBUTED TO OUR TEST UNIT LOCATION ON (B)(6) 2025 AT 8:00 AM. 3. ALL PATIENT RESULTS STOPPED INTERFACING TO THE ELECTRONIC HEALTH RECORD AT 8:12 AM BUT THIS INTERRUPTION WAS NOT NOTICED UNTIL 10:35AM. 4. VCUMC INTERNAL IT TROUBLESHOOTING PROCESS WAS INITIATED WHICH CONSISTED OF REBOOTING THE NOVANET SERVERS WHICH IS A PROCESS THAT HAS PREVIOUSLY RESOLVED INTERFACE CONNECTIVITY ISSUES. 5. NOVANET REBOOTED TWICE AND FAILED TO RESTORE CONNECTIVITY. A SYSTEM WIDE MAJOR IT INCIDENT WAS DECLARED DUE TO INTERFACE DOWNTIME. 6. NOVA TECHNICAL SUPPORT WAS CALLED AROUND 11AM AND NOTIFIED OF ISSUE. WE WERE NOTIFIED THAT TECHNICAL SUPPORT WAS NOT AVAILABLE AND THEY WOULD CALL US BACK. 7. AROUND 1 | INVESTIGATION ANTICIPATED BUT NOT YET BEGUN. DEVICE HAS BEEN RETURNED FOR EVALUATION. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF INVESTIGATION."
1219029-2025-00029,20251217,Malfunction,STAT PROFILE PRIME PLUS ANALYZER,CRITICAL CARE ANALYZER,,"Incorrect, Inadequate or Imprecise Result or Readings; Incorrect, Inadequate or Imprecise Result or Readings","FOLLOW UP ATTEMPTS WERE MADE TO THE CUSTOMER, ON (B)(6) 2025, TO ASCERTAIN FURTHER DETAILS REGARDING THE RESULTS IN QUESTION, WITH NO RESPONSE. PER SERVICE MAINTENANCE RECORD (SMR) 886790, THE FIELD SERVICE TECHNICIAN REPLACED THE REFERENCE SENSOR DUE TO INCORRECT PLACEMENT OF TUBING. THE BUN/HEATER AND SAMPLE PROBE WERE ALSO REPLACED. ALL QC PASSED AFTERWARDS. THE TECHNICIAN COULD NOT DETERMINE THE ROOT CAUSE OF THE REPORTED ISSUE. PER SMR 887429, APPLICATIONS WENT ONSITE FOR A FOLLOW UP VISIT AND REPLACED THE SENSOR CARD AND CALIBRATOR PACK. LINEARITY TESTING AND A SMALL SAMPLE CORRELATION WERE PERFORMED WITH GOOD RESULTS. PRE-ANALYTICAL STEPS WERE REVIEWED WITH THE CUSTOMER PER THE INSTRUCTIONS FOR USE MANUAL. ALTHOUGH THE ROOT CAUSE COULD NOT BE CONCLUSIVELY DETERMINED, A POTENTIAL CONTRIBUTORY FACTOR MAY HAVE BEEN THE PRE-ANALYTICAL HANDLING OF THE SAMPLE. THE ISSUE IS CURRENTLY RES | ON (B)(6) 2025 THE CUSTOMER RAN PATIENT SAMPLES FOR PH AND HCO3 (BICARBONATE). THEY BELIEVED THE RESULTS THEY RECEIVED WERE INACCURATE AND RETESTED ANOTHER SAMPLE ON A DIFFERENT ANALYZER (ISTAT). THERE WAS SIGNIFICANT DISCREPANCY BETWEEN THE 2 ANALYZERS. IT IS UNCLEAR HOW MUCH TIME HAD PASSED BETWEEN THE RETESTING OF THE SAMPLE. ALTHOUGH THERE WAS NO REPORTED TREATMENT TO THE PATIENT BASED ON THE ALLEGED INACCURATE RESULTS, THE CUSTOMER CLAIMED THAT THERE COULD HAVE BEEN AN ADVERSE EVENT HAD THEY TREATED BASED ON THOSE RESULTS."
1219029-2025-00028,20251212,Malfunction,STATSTRIP GLUCOSE TEST STRIP,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",,No Apparent Adverse Event; No Apparent Adverse Event,"AN INVESTIGATION WAS COMPLETED USING RETAINED AND RETURNED NOVA STATSTRIP GLUCOSE TEST STRIPS ( LOT # 0325041309), IN ADDITION TO RETAINED GLUCOSE METERS AND THE RETURNED METER FROM THE CUSTOMER. LINEARITY SOLUTION AND WHOLE BLOOD SPECIMENS WERE TESTED AGAINST THE RETURNED METER AND STRIPS IN COMPARISON TO THE RETAINED METER AND STRIPS. AT THE CONCLUSION OF THE INVESTIGATION, THERE WERE NO DISCREPANT VALUES OBTAINED DURING TESTING OF RETAINED TEST STRIPS NOR RETURNED TEST STRIPS. FURTHERMORE, THE RESULTS DESCRIBED IN THE COMPLAINT COULD NOT BE REPRODUCED. THE DEVICE AND TEST STRIPS OPERATED AS IT SHOULD. NO FURTHER ACTION IS RECOMMENDED AT THIS TIME. NOVA WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS. | THE CONSUMER REPORTED TO NOVA BIOMEDICAL THAT WHEN RUNNING A GLUCOSE TEST ON A 16-YEAR-OLD PATIENT, A SIGNIFICANT DISCREPANCY WAS OBSERVED WHEN COMPARING GLUCOSE RESULTS. THE PATIENT WAS NOT TREATED BASED OFF THESE RESULTS AND NO ADVERSE EVENTS HAVE BEEN REPORTED. AT THIS TIME, HANDLING OF THE TEST STRIPS IS UNKNOWN. THE CAPILLARY SAMPLE WAS TAKEN FROM THE FINGER."
23756997,20251209,Malfunction,"NOVA STATSTRIP GLUCOSE HOSPITAL METER, STATSTRIP CONTROL SOLUTIONS","GLUCOSE OXIDASE, GLUCOSE",,Defective Device,"DAYSHIFT STAFF HAD ISSUES WITH NONE OF THE GLUCOMETERS PASSING THE LEVEL 3 (RED) QC'S [QUALITY CONTROLS]. THEY THOUGHT IT WAS AN ISSUE WITH THE GLUCOMETERS BECAUSE THEY TRIED MULTIPLE BOTTLES OF THE LEVEL 3 FLUID. HOWEVER, WHEN I TRIED IT, I NOTICED ALL THE BOTTLES WERE FROM THE SAME LOT NUMBER (0425199303, EXPIRES 01-18-2028). I FOUND A BOTTLE FROM A DIFFERENT LOT AND THEY ALL PASSED. I HAVE DISPOSED OF ALL THE BOTTLES ON OUR UNIT WITH THIS SAME LOT NUMBER."
1219029-2025-00026,20251119,Malfunction,STATSENSOR CREATININE TEST STRIPS,CREATININE TEST SYSTEM,,"Incorrect, Inadequate or Imprecise Result or Readings; Incorrect, Inadequate or Imprecise Result or Readings","ON (B)(6) THE CUSTOMER PERFORMED A QUICK CREATININE TEST USING THE SSXPI FOR A PATIENT WHOSE CONDITION WAS NOT VERY GOOD, AND A SIGNIFICANT DISCREPANCY WAS OBSERVED COMPARED TO THE OUTSOURCED LABORATORY ANALYZER. STATSTRIP XPRESS CREA = 0.88 MG/DL. OUTSOURCED LABORATORY ANALYZER: CREA = 1.74 MG/DL. SINCE THE CREATININE VALUE MEASURED BY THE STATSTRIP XPRESS WAS JUST WITHIN THE NORMAL RANGE, THE CUSTOMER PROCEEDED WITH CONTRAST AGENT ADMINISTRATION FOR THE PATIENT. HOWEVER, BECAUSE THE PATIENT'S CONDITION WAS ORIGINALLY POOR, THE AMOUNT OF CONTRAST AGENT ADMINISTERED WAS REDUCED TO 80% OF THE USUAL DOSE (100 ML). AS OF OCTOBER 16, NO ADVERSE HEALTH EFFECTS HAD BEEN OBSERVED IN THE PATIENT. QC TESTING: THE CUSTOMER DIDN'T PERFORM QC TESTING BEFORE/AFTER THIS INCIDENT WITHIN 24 HOURS. HANDLING OF TEST STRIPS: THEY SAID THE TEST STRIP IN QUESTION APPEARS TO HAVE BEEN OPENED WITHIN THE LAST M | FUNCTIONAL INVESTIGATION: 3-1. PERFORMANCE CHECK OF THE METER: UPON CHECKING THE EXTERNAL APPEARANCE OF THE METER IN QUESTION (S/N: (B)(6)), WE CONFIRMED THAT THERE ARE MINOR SCRATCHES ON THE SCREEN AND DRIED BLOOD AT TEST STRIP INSERTION PORT. ALSO, UPON INSERTION OF THE TEST STRIP IN THE RECEIVED CONDITION, WE CONFIRMED THAT THE METER STARTED UP NORMALLY AND COULD BE TESTED. IN THIS CONDITION, USING THIS METER AND OUR TEST STRIPS RETAINED (LOT NO. 4925059129), WE PERFORMED DUPLICATE MEASUREMENTS OF CREATININE QC SOLUTION LEVELS 1 TO 3 IN QC MEASUREMENT MODE. AS A RESULT, WE CONFIRMED THAT"
1219029-2025-00024,20251111,Death,STATSTRIP GLUCOSE TEST STRIP,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",42214,Low Test Results; Low Test Results,"A DHR REVIEW WAS PERFORMED. NO ABNORMALITIES OR CONCERNS WERE OBSERVED. THE DHR INDICATED THE RELEASED PRODUCT MET ALL SPECIFICATIONS. STATSTRIP GLUCOSE METERS AND TEST STRIPS ARE DESIGNED TO ACCURATELY MEASURE THE GLUCOSE OF WHOLE BLOOD COLLECTED IN HEPARINIZED TUBES OR FRESH CAPILLARY/VENOUS SAMPLES. IT WAS REPORTED THAT THE BLOOD SAMPLES WERE COLLECTED IN A GREY-TOP TUBE CONTAINING SODIUM FLUORIDE, WHICH INHIBITS GLYCOLYSIS AND ALTERS THE SAMPLE CHEMISTRY. THIS CAN INTERFERE WITH THE ELECTROMECHANICAL MEASUREMENT PRINCIPLE OF THE STATSTRIP SYSTEM. PRODUCT IS ANTICIPATED TO RETURN. UPON COMPLETION OF THE INVESTIGATION, A SUPPLEMENTAL REPORT WILL BE SUBMITTED. | THE COMPLAINANT REPORTED SIGNIFICANT DISCREPANCIES BETWEEN LAB VALUES AND THE STATSTRIP XPRESS MEASUREMENT VALUES. UPON ARRIVAL, THE PATIENT WAS SAID TO BE IN AN ""UNCONSCIOUS"" AND HYPOTHERMIC STATE, BODY TEMPERATURE MEASUREMENT WAS NOT POSSIBLE. THE COMPLAINANT RECOGNIZES THAT THERE IS NO CAUSAL RELATIONSHIP BETWEEN PATIENT'S EXPIRATION AND THE METER RESULTS. TREATMENT FOR PATIENT WAS DELAYED UNTIL LABORATORY REFERENCE VALUE BECAME AVAILABLE. IT WAS REPORTED THAT THE PATIENT EXPIRED SOMETIME LATER."
1219029-2025-00025,20251111,Malfunction,STATSENSOR CREATININE TEST STRIPS,CREATININE TEST SYSTEM,,"Incorrect, Inadequate or Imprecise Result or Readings; Incorrect, Inadequate or Imprecise Result or Readings","""ON SEPTEMBER 30, WE WERE INFORMED BY THE CUSTOMER OF A DISCREPANCY IN CREATININE MEASUREMENT VALUES. SSXPI: CREA = 0.93 MG/DL, EGFR = 60.8. IN-HOSPITAL ANALYZER: CREA = 1.43 MG/DL, EGFR = 38. SINCE THE CREATININE VALUE MEASURED BY SSXPI WAS 0.93, THE CUSTOMER ADMINISTERED CONTRAST MEDIUM TO THE PATIENT. AFTER SUBSEQUENTLY RECEIVING THE LABORATORY RESULT OF 1.43, THE PHYSICIAN ADMINISTERED AN ADDITIONAL 500 ML OF SALINE SOLUTION TO DILUTE THE CONTRAST MEDIUM CONCENTRATION IN THE BODY. AS OF ON (B)(6), NO HEALTH HAZARD HAS BEEN OBSERVED IN THE PATIENT. THE CUSTOMER PERFORMS QC TESTING ONCE A MONTH; HOWEVER, IT WAS NOT PERFORMED ON THE DAY OF THE INCIDENT. REGARDING TEST STRIPS: THE TEST STRIPS USED WERE OPENED ON (B)(6) (EXPIRATION DATE AFTER OPENING: AUGUST 30, THEREFORE EXPIRED). THEY WERE STORED IN A REFRIGERATOR AND BROUGHT BACK TO ROOM TEMPERATURE FOR ABOUT HALF A DAY BEFORE USE. THE | ALTHOUGH THE METER IN QUESTION IS NOT AVAILABLE IN THE US, THE STRIPS ARE SOLD IN THE US. RETAINED AND RETURNED NOVA STATSENSOR CREATININE I TEST STRIPS (LOT#: 4924337129) WERE TESTED FOR THIS STUDY. TESTING INCLUDED FIVE (5) NOVA STATSENSOR CREATININE LINEARITY SOLUTIONS AND FIVE (5) LEVELS OF BLOOD SAMPLES FROM CONSENTING ADULT DONORS. FOUR (4) NOVA STATSENSOR CREATININE I EXPRESS METERS WERE USED, AS WELL AS ONE (1) RETURNED NOVA STATSENSOR CREATININE I EXPRESS METER FOR FOUR (4) MEASUREMENTS OF EACH SAMPLE (20 MEASUREMENTS) FOR RETAINED TEST STRIPS. IN ADDITION, ONE (1) RETURNED NOVA ST"
1219029-2025-00023,20251107,Malfunction,STAT STRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,63685,"Incorrect, Inadequate or Imprecise Result or Readings; Incorrect, Inadequate or Imprecise Result or Readings","INVESTIGATION ANTICIPATED, NOT YET BEGUN. PRODUCT HAS NOT BEEN RETURN AT TIME OF THIS SUBMISSION. NOVA BIOMEDICAL WILL SUBMIT A SUPPLEMENTAL REPORT UPON COMPLETION OF THE INVESTIGATION. THERE WAS NO REPORT OF PATIENT BEING TREATED AS A RESULT OF THE CAPILLARY FINGERSTICK RESULT OF 526MG/DL. THE DIFFERENCE BETWEEN THE REPLICANT VALUES WAS NOTED TO BE CLINICALLY SIGNIFICANT. | THE COMPLAINANT REPORTS UNEXPECTED ELEVATED POSTPRANDIAL GLUCOMETER RESULT. THE REPLICATE RESULTS OBTAINED WITHIN THREE MINUTES."
